Year,Film,Awards and Nominees
2022,A Quiet Place Part II,"Sound (Ethan Van der Ryn, Erik Aadahl, Malte Bieler, Brandon Proctor, Michael Barosky)"
2022,Affairs of the Art,"British Short Animation (Joanna Quinn, Les Mills)"
2022,After Love,"Director (Aleem Khan),Leading Actress (Joanna Scanlan),Outstanding British Film (Aleem Khan, Matthieu de Braconier),Outstanding Debut By A British Writer, Director or Producer (Aleem Khan (Writer/Director))"
2022,Ali & Ava,"Leading Actor (Adeel Akhtar),Outstanding British Film (Clio Barnard, Tracy ORiordan)"
2022,An Irish Goodbye,"British Short Film (Ross White, Tom Berkeley),SHORT FILM (Live Action) (),SHORT FILM (Live Action) (No nominees listed),SHORT FILM (Live Action) (Tom Berkeley and Ross White)"
2022,Ariana DeBose,"EE Rising Star Award (),EE Rising Star Award (No nominees listed)"
2022,Avatar: The Way of Water,"Golden Globe Award for Best Director (),Golden Globe Award for Best Director (No nominees listed),Sound (Christopher Boyes, Gary Summers, Julian Howarth, Gwendolyn Yates Whittle, Michael Hedges),Special Visual Effects (Richard Baneham, Eric Saindon, Daniel Barrett, Joe Letteri),VISUAL EFFECTS (),VISUAL EFFECTS (Joe Letteri, Richard Baneham, Eric Saindon and Daniel Barrett),VISUAL EFFECTS (No nominees listed)"
2022,Becoming Cousteau,"Documentary (Mridu Chandra, Liz Garbus, Dan Cogan, Evan Hayes)"
2022,Being The Ricardos,"Original Score (Daniel Pemberton),Original Screenplay (Aaron Sorkin)"
2022,Black Panther: Wakanda Forever,"COSTUME DESIGN (),COSTUME DESIGN (No nominees listed),COSTUME DESIGN (Ruth Carter)"
2022,Boiling Point,"Casting (Carolyn McLeod),Leading Actor (Stephen Graham),Outstanding British Film (James Cummings, Philip Barantini, Bart Ruspoli, Hester Ruoff),Outstanding Debut By A British Writer, Director or Producer (Hester Ruoff (Producer) [also produced by Bart Ruspoli], James Cummings (Writer), Philip Barantini (Writer))"
2022,C'mon C'mon,Supporting Actor (Woody Norman)
2022,Cow,"Documentary (Andrea Arnold, Kat Mansoor)"
